timeMillis,timeElapsed,pressure,alt,altV,predictedApogee,dragCoefCmd,dragAngle,flightState
5516,0,1021.9349,0.2658,0.9599,0.3127,0.7500,135.0000,1
5526,0,1021.9290,0.2998,1.1457,0.3667,0.7500,135.0000,1
5536,0,1021.9283,0.3349,1.3264,0.4246,0.7500,135.0000,1
5546,0,1021.9263,0.3618,1.6412,0.4990,0.7500,135.0000,1
5556,0,1021.9270,0.3783,1.7599,0.5361,0.7500,135.0000,1
5566,0,1021.9164,0.4051,1.9199,0.5929,0.7500,135.0000,1
5576,0,1021.9158,0.4314,2.1005,0.6562,0.7500,135.0000,1
5586,0,1021.9095,0.4665,2.3896,0.7573,0.7500,135.0000,1
5596,0,1021.9152,0.4918,2.6838,0.8586,0.7500,135.0000,1
5606,0,1021.9158,0.4933,2.5289,0.8191,0.7500,135.0000,1
5616,0,1021.9155,0.4939,2.2812,0.7589,0.7500,135.0000,1
5626,0,1021.9100,0.4933,1.9354,0.6842,0.7500,135.0000,1
5636,0,1021.9074,0.5104,1.7548,0.6673,0.7500,135.0000,1
5646,0,1021.9114,0.5197,1.5793,0.6468,0.7500,135.0000,1
5656,0,1021.9136,0.5233,1.4503,0.6305,0.7500,135.0000,1
5666,0,1021.9086,0.5259,1.2077,0.6002,0.7500,135.0000,1
5676,0,1021.9146,0.5104,0.7896,0.5422,0.7500,135.0000,1
5686,0,1021.9080,0.5176,0.5109,0.5309,0.7500,135.0000,1
5696,0,1021.9081,0.5295,0.3768,0.5367,0.7500,135.0000,1
5706,0,1021.8956,0.5573,0.6400,0.5782,0.7500,135.0000,1
5716,0,1021.8965,0.5955,1.0167,0.6482,0.7500,135.0000,1
5726,0,1021.8921,0.6291,1.3574,0.7230,0.7500,135.0000,1
5736,0,1021.8976,0.6513,1.4090,0.7524,0.7500,135.0000,1
5746,0,1021.8943,0.6549,1.3522,0.7481,0.7500,135.0000,1
5756,0,1021.8942,0.6600,1.3677,0.7554,0.7500,135.0000,1
5766,0,1021.9001,0.6430,1.1716,0.7130,0.7500,135.0000,1
5776,0,1021.8970,0.6440,1.3367,0.7351,0.7500,135.0000,1
